table,column,index,original_value,type
df_contrats,coverEndDate,3565,,missing_value
df_contrats,coverStartDate,2881,,missing_value
df_contrats,coverStartDate,3565,,missing_value
df_contrats,coverStartDate,3566,,missing_value
df_contrats,coverStartDate,3567,,missing_value
df_contrats,coverStartDate,3568,,missing_value
df_contrats,coverStartDate,3569,,missing_value
df_contrats,coverStartDate,3570,,missing_value
df_contrats,coverStartDate,3571,,missing_value
df_contrats,coverStartDate,3572,,missing_value
df_contrats,coverStartDate,3573,,missing_value
df_contrats,coverStartDate,3574,,missing_value
df_contrats,coverStartDate,3575,,missing_value
df_contrats,coverStartDate,3576,,missing_value
df_contrats,coverStartDate,3577,,missing_value
df_contrats,coverStartDate,3578,,missing_value
df_contrats,coverStartDate,3579,,missing_value
df_contrats,coverStartDate,3580,,missing_value
df_contrats,coverStartDate,3581,,missing_value
df_contrats,coverStartDate,3582,,missing_value
df_contrats,coverStartDate,3583,,missing_value
df_contrats,coverStartDate,3584,,missing_value
df_contrats,coverStartDate,3585,,missing_value
df_contrats,coverStartDate,3586,,missing_value
df_contrats,coverStartDate,3587,,missing_value
df_contrats,coverStartDate,3588,,missing_value
df_contrats,coverStartDate,3589,,missing_value
df_contrats,coverStartDate,3590,,missing_value
df_contrats,coverStartDate,3591,,missing_value
df_contrats,coverStartDate,3592,,missing_value
df_contrats,coverStartDate,3593,,missing_value
df_contrats,coverStartDate,3594,,missing_value
df_contrats,coverStartDate,3595,,missing_value
df_contrats,coverStartDate,3596,,missing_value
df_contrats,coverStartDate,3597,,missing_value
df_contrats,coverStartDate,3598,,missing_value
df_contrats,coverStartDate,3599,,missing_value
df_contrats,coverStartDate,3600,,missing_value
df_contrats,coverStartDate,3601,,missing_value
df_contrats,coverStartDate,3602,,missing_value
df_contrats,coverStartDate,3603,,missing_value
df_contrats,coverStartDate,3604,,missing_value
df_contrats,coverStartDate,3605,,missing_value
df_contrats,coverStartDate,3606,,missing_value
df_contrats,coverStartDate,3607,,missing_value
df_contrats,coverStartDate,3608,,missing_value
df_contrats,coverStartDate,3609,,missing_value
df_contrats,coverStartDate,3610,,missing_value
df_contrats,coverStartDate,3611,,missing_value
df_contrats,coverStartDate,3612,,missing_value
df_contrats,coverStartDate,3613,,missing_value
df_contrats,coverStartDate,3614,,missing_value
df_contrats,coverStartDate,3615,,missing_value
df_contrats,coverStartDate,3616,,missing_value
df_contrats,coverStartDate,3617,,missing_value
df_contrats,coverStartDate,3618,,missing_value
df_contrats,coverStartDate,3619,,missing_value
df_contrats,coverStartDate,3620,,missing_value
df_contrats,coverStartDate,3621,,missing_value
df_contrats,coverStartDate,3622,,missing_value
df_contrats,coverStartDate,3623,,missing_value
df_contrats,coverStartDate,3624,,missing_value
df_contrats,coverStartDate,3625,,missing_value
df_contrats,coverStartDate,3626,,missing_value
df_contrats,coverStartDate,3627,,missing_value
df_contrats,coverStartDate,3628,,missing_value
df_contrats,coverStartDate,3629,,missing_value
df_contrats,coverStartDate,3630,,missing_value
df_contrats,coverStartDate,3631,,missing_value
df_contrats,coverStartDate,3632,,missing_value
df_contrats,coverStartDate,3633,,missing_value
df_contrats,coverStartDate,3634,,missing_value
df_contrats,coverStartDate,3635,,missing_value
df_contrats,coverStartDate,3636,,missing_value
df_contrats,coverStartDate,3637,,missing_value
df_contrats,coverStartDate,3638,,missing_value
df_contrats,coverStartDate,3639,,missing_value
df_contrats,coverStartDate,3640,,missing_value
df_contrats,coverStartDate,3641,,missing_value
df_contrats,coverStartDate,3642,,missing_value
df_contrats,coverStartDate,3643,,missing_value
df_contrats,coverStartDate,3644,,missing_value
df_contrats,coverStartDate,3645,,missing_value
df_contrats,coverStartDate,3646,,missing_value
df_contrats,coverStartDate,3647,,missing_value
df_contrats,coverStartDate,3648,,missing_value
df_contrats,coverStartDate,3649,,missing_value
df_contrats,coverStartDate,3650,,missing_value
df_contrats,coverStartDate,3651,,missing_value
df_contrats,coverStartDate,3652,,missing_value
df_contrats,coverStartDate,3653,,missing_value
df_contrats,coverStartDate,3654,,missing_value
df_contrats,coverStartDate,3655,,missing_value
df_contrats,coverStartDate,3656,,missing_value
df_contrats,coverStartDate,3657,,missing_value
df_contrats,coverStartDate,3658,,missing_value
